ip_address,request_path,request_method,user_agent,failed_login_attempts,request_count,risk_score,risk_level,attack_type
"127.0.0.1","/api/login/","GET","mozilla/5.0 (windows nt 10.0; win64; x64) applewebkit/537.36 (khtml, like gecko) chrome/144.0.0.0 safari/537.36","51","64","74.2","MALICIOUS","CREDENTIAL_STUFFING"
"10.0.0.10","/download/","GET","postmanruntime/7.51.0","5","8","11.4","SUSPICIOUS","CREDENTIAL_STUFFING"
"172.16.0.99","/download/","GET","postmanruntime/7.51.0","0","18","9","SUSPICIOUS","NORMAL"
"172.16.0.98","/download/","GET","postmanruntime/7.51.0","0","3","5.5","NORMAL","SQL_INJECTION"
"10.10.10.55","/login/","GET","python-bot","0","2","2.6","NORMAL","BOT_ACTIVITY"
"10.0.0.1","/download/","GET","postmanruntime/7.51.0","0","4","5.2","NORMAL","PATH_TRAVERSAL"
"10.0.0.9","/api/login/","GET","mozilla/5.0","0","19","5.7","NORMAL","NORMAL"
"22.22.22.22","/api/login/","POST","mozilla/5.0","3","7","5.1","NORMAL","BRUTE_FORCE"
"111.111.111.111","/download/","GET","mozilla/5.0","0","22","11.6","SUSPICIOUS","COMMAND_INJECTION"
"33.33.33.33","/download/","PUT","mozilla/5.0","0","5","4.5","NORMAL","HTTP_METHOD_ABUSE"
"44.44.44.44","/admin-panel/","GET","mozilla/5.0","0","1","2.3","NORMAL","RECONNAISSANCE"
"121.121.121.121","/login/","PUT","mozilla/5.0","4","6","8.8","SUSPICIOUS","BRUTE_FORCE"
"123.123.123.123","/login/","PUT","mozilla/5.0","0","2","3.6","NORMAL","HTTP_METHOD_ABUSE"
"232.232.232.232","/login/","POST","mozilla/5.0","10","15","22.5","MALICIOUS","CREDENTIAL_STUFFING"
"12.4.4.23","/login/","POST","mozilla/5.0","1","17","10.1","SUSPICIOUS","SQL_INJECTION"
"45.34.34.45","/admin-panel/","GET","mozilla/5.0","0","3","2.9","NORMAL","RECONNAISSANCE"
"33.56.56.33","/login/","POST","mozilla/5.0","8","9","18.7","MALICIOUS","CREDENTIAL_STUFFING"
"23.23.23.23","/download/","PUT","mozilla/5.0","0","1","3.3","NORMAL","HTTP_METHOD_ABUSE"
"47.45.45.47","/login/","POST","mozilla/5.0","3","25","14.5","MALICIOUS","BRUTE_FORCE"
"90.90.90.90","/admin-panel/","GET","mozilla/5.0","0","14","6.2","SUSPICIOUS","RECONNAISSANCE"
"91.91.91.91","/search/","GET","mozilla/5.0","0","41","12.3","MALICIOUS","NORMAL"
"78.90.09.78","/search/","GET","mozilla/5.0","0","27","12.1","MALICIOUS","SQL_INJECTION"
"92.92.92.92","/download/","GET","mozilla/5.0","0","28","12.4","MALICIOUS","PATH_TRAVERSAL"
"12.32.32.12","/admin-panel/","GET","mozilla/5.0","0","4","3.2","NORMAL","RECONNAISSANCE"
"13.23.23.13","/download/","GET","python-bot","0","2","2.6","NORMAL","BOT_ACTIVITY"
"34.34.34.34","/exec/","GET","curl","0","17","12.1","MALICIOUS","COMMAND_INJECTION"
"12.55.55.66","/exec/","GET","curl","0","4","8.2","SUSPICIOUS","COMMAND_INJECTION"
"15.78.90.44","/login/","POST","mozilla/5.0","7","14","15.2","MALICIOUS","CREDENTIAL_STUFFING"
"106.60.21.27","/login/","POST","mozilla/5.0 (windows nt 10.0; win64; x64)","0","1","0.3","NORMAL","NORMAL"
"174.186.252.215","/login/","POST","mozilla/5.0 (windows nt 10.0; win64; x64)","0","1","0.3","NORMAL","NORMAL"
"73.142.45.140","/login/","POST","mozilla/5.0 (windows nt 10.0; win64; x64)","0","20","6","SUSPICIOUS","NORMAL"
"31.45.161.43","/login/","POST","mozilla/5.0 (windows nt 10.0; win64; x64)","0","21","6.3","SUSPICIOUS","NORMAL"
"204.139.200.74","/login/","POST","mozilla/5.0 (windows nt 10.0; win64; x64)","0","20","6","SUSPICIOUS","NORMAL"
"202.125.127.149","/login/","POST","mozilla/5.0 (windows nt 10.0; win64; x64)","0","20","6","SUSPICIOUS","NORMAL"
"252.226.195.86","/login/","POST","mozilla/5.0 (windows nt 10.0; win64; x64)","0","19","5.7","NORMAL","NORMAL"
"60.201.39.154","/login/","POST","mozilla/5.0 (windows nt 10.0; win64; x64)","8","8","14.4","MALICIOUS","CREDENTIAL_STUFFING"
"98.250.148.23","/login/","POST","mozilla/5.0 (windows nt 10.0; win64; x64)","2","2","2.6","NORMAL","NORMAL"
"145.148.207.41","/login/","POST","mozilla/5.0 (windows nt 10.0; win64; x64)","3","3","3.9","NORMAL","BRUTE_FORCE"
"7.65.101.80","/login/","POST","mozilla/5.0 (windows nt 10.0; win64; x64)","4","4","5.2","NORMAL","BRUTE_FORCE"
"214.179.71.152","/login/","POST","mozilla/5.0 (windows nt 10.0; win64; x64)","4","4","5.2","NORMAL","BRUTE_FORCE"
"175.5.151.160","/login/","POST","mozilla/5.0 (windows nt 10.0; win64; x64)","11","11","18.3","MALICIOUS","CREDENTIAL_STUFFING"
"43.26.120.193","/login/","POST","mozilla/5.0 (windows nt 10.0; win64; x64)","10","10","17","MALICIOUS","CREDENTIAL_STUFFING"
"12.208.102.97","/login/","POST","mozilla/5.0 (windows nt 10.0; win64; x64)","12","12","19.6","MALICIOUS","CREDENTIAL_STUFFING"
"1.174.1.21","/login/","POST","mozilla/5.0 (windows nt 10.0; win64; x64)","12","12","19.6","MALICIOUS","CREDENTIAL_STUFFING"
"137.88.69.148","/login/","POST","mozilla/5.0 (windows nt 10.0; win64; x64)","9","9","15.7","MALICIOUS","CREDENTIAL_STUFFING"
"130.129.11.89","/login/","POST","mozilla/5.0 (windows nt 10.0; win64; x64)","6","6","11.8","SUSPICIOUS","CREDENTIAL_STUFFING"
"51.125.205.47","/login/","POST","mozilla/5.0 (windows nt 10.0; win64; x64)","7","7","13.1","MALICIOUS","CREDENTIAL_STUFFING"
"40.154.250.214","/login/","POST","mozilla/5.0 (windows nt 10.0; win64; x64)","5","5","10.5","SUSPICIOUS","CREDENTIAL_STUFFING"
"190.30.227.201","/login/","POST","mozilla/5.0 (windows nt 10.0; win64; x64)","5","5","10.5","SUSPICIOUS","CREDENTIAL_STUFFING"
"143.112.1.56","/login/","POST","mozilla/5.0 (windows nt 10.0; win64; x64)","1","1","1.3","NORMAL","NORMAL"
"9.27.242.56","/login/","POST","mozilla/5.0 (windows nt 10.0; win64; x64)","5","6","10.8","SUSPICIOUS","CREDENTIAL_STUFFING"
"59.106.162.173","/login/","POST","mozilla/5.0 (windows nt 10.0; win64; x64)","3","12","6.6","SUSPICIOUS","BRUTE_FORCE"
"225.73.112.17","/login/","POST","mozilla/5.0 (windows nt 10.0; win64; x64)","4","14","8.2","SUSPICIOUS","BRUTE_FORCE"
"164.116.47.173","/login/","POST","mozilla/5.0 (windows nt 10.0; win64; x64)","4","11","7.3","SUSPICIOUS","BRUTE_FORCE"
"241.72.167.111","/login/","POST","mozilla/5.0 (windows nt 10.0; win64; x64)","5","15","13.5","MALICIOUS","CREDENTIAL_STUFFING"
"94.48.199.187","/login/","GET","mozilla/5.0 (windows nt 10.0; win64; x64)","4","7","10.1","SUSPICIOUS","PATH_TRAVERSAL"
"144.80.85.231","/login/","POST","mozilla/5.0 (windows nt 10.0; win64; x64)","5","17","14.1","MALICIOUS","CREDENTIAL_STUFFING"
"17.32.92.27","/login/","POST","mozilla/5.0 (windows nt 10.0; win64; x64)","4","10","7","SUSPICIOUS","BRUTE_FORCE"
"122.66.224.151","/login/","POST","mozilla/5.0 (windows nt 10.0; win64; x64)","4","9","6.7","SUSPICIOUS","BRUTE_FORCE"
"67.18.147.229","/login/","POST","mozilla/5.0 (windows nt 10.0; win64; x64)","5","11","12.3","MALICIOUS","CREDENTIAL_STUFFING"
"166.154.160.219","/login/","POST","mozilla/5.0 (windows nt 10.0; win64; x64)","5","11","12.3","MALICIOUS","CREDENTIAL_STUFFING"
"228.254.5.254","/login/","POST","mozilla/5.0 (windows nt 10.0; win64; x64)","2","4","3.2","NORMAL","NORMAL"
"63.84.249.208","/login/","GET","mozilla/5.0 (windows nt 10.0; win64; x64)","3","9","9.7","SUSPICIOUS","PATH_TRAVERSAL"
"149.190.104.172","/login/","POST","mozilla/5.0 (windows nt 10.0; win64; x64)","6","11","13.3","MALICIOUS","CREDENTIAL_STUFFING"
"125.164.208.118","/login/","POST","mozilla/5.0 (windows nt 10.0; win64; x64)","2","2","2.6","NORMAL","NORMAL"
"86.42.147.191","/login/","POST","python-requests/2.28","1","10","6","SUSPICIOUS","PATH_TRAVERSAL"
"48.154.201.189","/login/","POST","mozilla/5.0 (windows nt 10.0; win64; x64)","1","9","3.7","NORMAL","PATH_TRAVERSAL"
